code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
201704;Apr.17;;Apr.17;;;;;;
201705;Mai.17;;May 17;;;;;;
201706;Jun.17;;Jun.17;;;;;;
201707;Jul.17;;Jul.17;;;;;;
201708;Aug.17;;Aug.17;;;;;;
201709;Sep.17;;Sep.17;;;;;;
201710;Okt.17;;Oct.17;;;;;;
201711;Nov.17;;Nov.17;;;;;;
201712;Dez.17;;Dec.17;;;;;;
201801;Jan.18;;Jan.18;;;;;;
201802;Feb.18;;Feb.18;;;;;;
201803;Mär.18;;Mar.18;;;;;;
201804;Apr.18;;Apr.18;;;;;;
201805;Mai.18;;May 18;;;;;;
201806;Jun.18;;Jun.18;;;;;;
201807;Jul.18;;Jul.18;;;;;;
201808;Aug.18;;Aug.18;;;;;;
201809;Sep.18;;Sep.18;;;;;;
201810;Okt.18;;Oct.18;;;;;;
201811;Nov.18;;Nov.18;;;;;;
201812;Dez.18;;Dec.18;;;;;;
201901;Jan.19;;Jan.19;;;;;;
201902;Feb.19;;Feb.19;;;;;;
201903;Mär.19;;Mar.19;;;;;;
201904;Apr.19;;Apr.19;;;;;;
201905;Mai.19;;May 19;;;;;;
201906;Jun.19;;Jun.19;;;;;;
201907;Jul.19;;Jul.19;;;;;;
201908;Aug.19;;Aug.19;;;;;;
201909;Sep.19;;Sep.19;;;;;;
201910;Okt.19;;Oct.19;;;;;;
201911;Nov.19;;Nov.19;;;;;;
201912;Dez.19;;Dec.19;;;;;;
202001;Jan.20;;Jan.20;;;;;;
202002;Feb.20;;Feb.20;;;;;;
202003;Mär.20;;Mar.20;;;;;;
202004;Apr.20;;Apr.20;;;;;;
202005;Mai.20;;May 20;;;;;;
202006;Jun.20;;Jun.20;;;;;;
202007;Jul.20;;Jul.20;;;;;;
202008;Aug.20;;Aug.20;;;;;;
202009;Sep.20;;Sep.20;;;;;;
202010;Okt.20;;Oct.20;;;;;;
202011;Nov.20;;Nov.20;;;;;;
202012;Dez.20;;Dec.20;;;;;;
202101;Jan.21;;Jan.21;;;;;;
202102;Feb.21;;Feb.21;;;;;;
202103;Mär.21;;Mar.21;;;;;;
202104;Apr.21;;Apr.21;;;;;;
202105;Mai.21;;May 21;;;;;;
202106;Jun.21;;Jun.21;;;;;;
202107;Jul.21;;Jul.21;;;;;;
202108;Aug.21;;Aug.21;;;;;;
202109;Sep.21;;Sep.21;;;;;;
202110;Okt.21;;Oct.21;;;;;;
202111;Nov.21;;Nov.21;;;;;;
202112;Dez.21;;Dec.21;;;;;;
202201;Jän.22;;Jan.22;;;;;;
202202;Feb.22;;Feb.22;;;;;;
202203;Mär.22;;Mar.22;;;;;;
202204;Apr.22;;Apr.22;;;;;;
202205;Mai.22;;May 22;;;;;;
202206;Jun.22;;Jun.22;;;;;;
202207;Jul.22;;Jul.22;;;;;;
202208;Aug.22;;Aug.22;;;;;;
202209;Sep.22;;Sep.22;;;;;;
202210;Okt.22;;Oct.22;;;;;;
202211;Nov.22;;Nov.22;;;;;;
202212;Dez.22;;Dec.22;;;;;;
202301;Jän.23;;Jan.23;;;;;;
202302;Feb.23;;Feb.23;;;;;;
202303;Mär.23;;Mar.23;;;;;;
202304;Apr.23;;Apr.23;;;;;;
202305;Mai.23;;May 23;;;;;;
202306;Jun.23;;Jun.23;;;;;;
202307;Jul.23;;Jul.23;;;;;;
202308;Aug.23;;Aug.23;;;;;;
202309;Sep.23;;Sep.23;;;;;;
202310;Okt.23;;Okt.23;;;;;;
202311;Nov.23;;Nov.23;;;;;;
202312;Dez.23;;Dec.23;;;;;;
202401;Jän.24;;Jan.24;;;;;;
202402;Feb.24;;Feb.24;;;;;;
