C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
197403;W96-2;01;10335;63251
197403;W96-2;02;7680;44787
197403;W96-2;03;14341;77152
197403;W96-2;70;14;26
197403;W96-2;81;1052;2973
197403;W96-2;73;650;3379
197403;W96-2;83;96;582
197403;W96-2;84;1296;14066
197403;W96-2;60;1836;16993
197403;W96-2;74;81;1171
197403;W96-2;999;66;196
197403;W96-3;01;4260;15565
197403;W96-3;02;9263;42737
197403;W96-3;03;22732;107626
197403;W96-3;70;103;343
197403;W96-3;81;747;3001
197403;W96-3;73;383;5859
197403;W96-3;71;1173;28648
197403;W96-3;83;892;2081
197403;W96-3;84;1365;8116
197403;W96-3;60;4691;33900
197403;W96-3;75;200;9044
197403;W96-3;74;3144;47177
197403;W96-3;998;246;796
197403;W96-3;999;390;3253
197403;W96-4;01;9763;36202
197403;W96-4;02;13368;39032
197403;W96-4;03;17838;103879
197403;W96-4;70;14;17
197403;W96-4;81;2191;8661
197403;W96-4;73;1190;10323
197403;W96-4;71;2038;47250
197403;W96-4;83;756;2386
197403;W96-4;84;1455;6664
197403;W96-4;60;3322;28367
197403;W96-4;75;50;5117
197403;W96-4;72;456;11165
197403;W96-4;74;938;11122
197403;W96-4;998;90;306
197403;W96-4;999;667;4946
197403;W96-5;01;21624;129144
197403;W96-5;02;57468;396564
197403;W96-5;03;50368;329800
197403;W96-5;70;183;1062
197403;W96-5;81;5687;30657
197403;W96-5;73;18651;130578
197403;W96-5;71;1447;24678
197403;W96-5;83;798;2398
197403;W96-5;84;3241;30983
197403;W96-5;60;21941;183685
197403;W96-5;72;298;4030
197403;W96-5;74;379;4391
197403;W96-5;998;8832;62905
197403;W96-5;999;6859;44200
197403;W96-6;01;12724;34467
197403;W96-6;02;15391;75879
197403;W96-6;03;38521;214068
197403;W96-6;70;213;431
197403;W96-6;81;2914;14942
197403;W96-6;73;1105;11803
197403;W96-6;71;565;13541
197403;W96-6;83;1272;4946
197403;W96-6;84;2998;23363
197403;W96-6;60;13447;115067
197403;W96-6;75;271;7317
197403;W96-6;72;47;760
197403;W96-6;74;509;5443
197403;W96-6;998;143;942
197403;W96-6;999;1644;9362
197403;W96-7;01;41502;282698
197403;W96-7;02;48318;358303
197403;W96-7;03;108705;919749
197403;W96-7;70;392;4567
197403;W96-7;81;1834;7581
197403;W96-7;73;2450;17785
197403;W96-7;71;64;1664
197403;W96-7;83;471;3165
197403;W96-7;84;1216;10047
197403;W96-7;60;58488;551820
197403;W96-7;75;434;5113
197403;W96-7;74;294;3445
197403;W96-7;998;6488;66553
197403;W96-7;999;890;8168
197403;W96-8;01;16132;120591
197403;W96-8;02;16673;120817
197403;W96-8;03;26742;233334
197403;W96-8;70;747;7668
197403;W96-8;81;1871;8799
197403;W96-8;73;603;8018
197403;W96-8;83;351;1157
197403;W96-8;84;769;3708
197403;W96-8;60;22510;207157
197403;W96-8;75;120;4161
197403;W96-8;74;148;503
197403;W96-8;998;35;254
197403;W96-8;999;2090;19547
197403;W96-9;01;39387;95805
197403;W96-9;02;20951;59398
197403;W96-9;03;15007;48051
197403;W96-9;70;57;163
197403;W96-9;81;4633;20410
197403;W96-9;84;215;709
197403;W96-9;75;87;529
197404;W96-1;01;522;3108
197404;W96-1;02;3636;12173
197404;W96-1;03;5140;15608
197404;W96-1;70;318;687
197404;W96-1;81;677;2138
197404;W96-1;71;299;7416
197404;W96-1;84;179;519
197404;W96-1;60;1142;6264
197404;W96-1;72;116;2121
197404;W96-1;74;252;4267
197404;W96-1;999;3;30
197404;W96-2;01;12402;49575
197404;W96-2;02;10165;40825
197404;W96-2;03;19200;79657
197404;W96-2;70;456;2428
197404;W96-2;81;859;1718
197404;W96-2;73;86;488
197404;W96-2;83;181;1404
197404;W96-2;84;1195;14200
197404;W96-2;60;4065;35083
197404;W96-2;74;89;1766
197404;W96-2;999;140;1901
197404;W96-3;01;8225;22571
197404;W96-3;02;14811;53897
197404;W96-3;03;36184;146052
197404;W96-3;70;679;2341
197404;W96-3;81;760;1892
197404;W96-3;73;458;8244
197404;W96-3;71;1098;23774
197404;W96-3;83;1027;2352
197404;W96-3;84;1047;7549
197404;W96-3;60;7324;51885
197404;W96-3;75;266;8236
197404;W96-3;74;3506;46957
197404;W96-3;998;447;1662
197404;W96-3;999;328;2180
197404;W96-4;01;13071;46883
197404;W96-4;02;18736;55362
197404;W96-4;03;26408;130213
197404;W96-4;70;284;1029
197404;W96-4;81;2601;8543
197404;W96-4;73;852;7765
197404;W96-4;71;1750;42552
197404;W96-4;83;977;2159
197404;W96-4;84;647;4352
197404;W96-4;60;8091;57228
197404;W96-4;75;65;4888
197404;W96-4;72;605;11575
197404;W96-4;74;1175;12940
197404;W96-4;998;315;779
197404;W96-4;999;776;4671
197404;W96-5;01;25742;89106
197404;W96-5;02;49885;242185
197404;W96-5;03;48011;244001
197404;W96-5;70;1191;5384
197404;W96-5;81;4558;17881
197404;W96-5;73;7570;59301
197404;W96-5;71;1342;26184
197404;W96-5;83;1385;5919
197404;W96-5;84;2193;20038
197404;W96-5;60;25103;176172
197404;W96-5;72;340;3891
197404;W96-5;74;332;3747
197404;W96-5;998;5773;46814
197404;W96-5;999;3023;23465
197404;W96-6;01;15405;36715
197404;W96-6;02;16265;65072
197404;W96-6;03;38415;182080
197404;W96-6;70;1156;2093
197404;W96-6;81;2753;11571
197404;W96-6;73;514;8810
197404;W96-6;71;412;7284
197404;W96-6;83;1350;3948
197404;W96-6;84;1703;11059
197404;W96-6;60;16651;116104
197404;W96-6;75;294;7735
197404;W96-6;72;43;783
197404;W96-6;74;324;4530
197404;W96-6;998;212;883
197404;W96-6;999;1342;9716
197404;W96-7;01;35983;157218
197404;W96-7;02;41240;206278
197404;W96-7;03;90858;599505
197404;W96-7;70;1449;6333
197404;W96-7;81;1735;5405
197404;W96-7;73;946;7937
197404;W96-7;71;103;1974
197404;W96-7;83;477;3093
197404;W96-7;84;282;3373
197404;W96-7;60;58842;453259
197404;W96-7;75;380;4140
197404;W96-7;74;449;3721
197404;W96-7;998;4422;50509
197404;W96-7;999;978;8951
197404;W96-8;01;11135;68437
197404;W96-8;02;12540;73183
197404;W96-8;03;19867;143282
197404;W96-8;70;2037;17143
197404;W96-8;81;965;4945
197404;W96-8;73;646;8181
197404;W96-8;83;62;132
197404;W96-8;84;1048;5121
197404;W96-8;60;23676;167391
197404;W96-8;75;119;4893
197404;W96-8;74;143;808
197404;W96-8;999;1187;12641
197404;W96-9;01;53490;147454
197404;W96-9;02;33341;95275
197404;W96-9;03;23570;66109
197404;W96-9;70;2156;6512
197404;W96-9;81;6186;22900
197404;W96-9;84;234;805
197404;W96-9;75;108;489
197405;W96-1;01;568;3582
197405;W96-1;02;4061;15657
197405;W96-1;03;7315;26757
197405;W96-1;70;9571;32188
197405;W96-1;81;1516;3230
197405;W96-1;71;293;7621
197405;W96-1;84;227;1028
197405;W96-1;60;1758;13185
197405;W96-1;72;122;2227
197405;W96-1;74;213;5063
197405;W96-1;999;46;117
197405;W96-2;01;18512;66726
197405;W96-2;02;15132;62527
197405;W96-2;03;35268;172205
197405;W96-2;70;3088;16693
